row_type,comparison_group,run,task,norm_variant,model_n_heads,head_dim,circuit_edges,active_attention_heads,active_program_heads,active_neural_heads,qk_bilinear_terms_length_6,zero_attention_bilinear_terms,assertion_categories,assertion_attribution,per_property_assertion_attribution,profiled_assertions,profiled_solve_seconds,per_property_solve_seconds,assertions_per_edge,solve_seconds_per_edge,norm_instances,norm_attributable_assertions,norm_attributable_assertions_per_norm_instance,descriptive_wall_time_seconds_not_comparable,branch_certificates_required,robustness_branch_unknown_possible,robustness_provable_without_branch_certificates,all_four_properties_verified,formal_statuses,timeouts,errors,unknowns,qualitative_claim,quantitative_claim_scope
selected_circuit,,bandnorm,quote_close,signed_l1_band_norm,2,8,2,1,0,1,168,False,"{'norm': 140632, 'attention': 10422, 'mlp': 0, 'embedding/residual': 0, 'decision': 4353}","{'norm': 140632, 'attention': 10422, 'mlp': 0, 'embedding/residual': 0, 'decision': 4353}","{'projected_functional_equivalence': {'assertions': {'norm': 46592, 'attention': 3456, 'mlp': 0, 'embedding/residual': 0, 'decision': 128}, 'norm_instances': 896}, 'projected_content_invariance': {'assertions': {'norm': 91728, 'attention': 6804, 'mlp': 0, 'embedding/residual': 0, 'decision': 126}, 'norm_instances': 1764}, 'projected_edge_necessity': {'assertions': {'norm': 2184, 'attention': 162, 'mlp': 0, 'embedding/residual': 0, 'decision': 3}, 'norm_instances': 42}, 'projected_continuous_robustness': {'assertions': {'norm': 128, 'attention': 0, 'mlp': 0, 'embedding/residual': 0, 'decision': 4096}, 'norm_instances': 128}}",155407,8.201419830322266,"{'projected_functional_equivalence': 3.1358513832092285, 'projected_content_invariance': 4.805555582046509, 'projected_edge_necessity': 0.08140802383422852, 'projected_continuous_robustness': 0.1786048412322998}",77703.5,4.100709915161133,2830,140632,49.69328621908127,76.4237717090582,True,True,False,False,"{'projected_functional_equivalence': 'VERIFIED', 'projected_content_invariance': 'VERIFIED', 'projected_edge_necessity': 'VERIFIED', 'projected_continuous_robustness': 'UNKNOWN_BRANCH_UNSTABLE'}",0,0,1,BandNorm verification requires branch certificates; whether the epsilon box remains within one branch is checkpoint-dependent.,normalized_metrics_only_across_different_topologies
selected_circuit,,bandnorm,bracket_type,signed_l1_band_norm,2,8,2,1,0,1,168,False,"{'norm': 147288, 'attention': 10422, 'mlp': 0, 'embedding/residual': 0, 'decision': 6465}","{'norm': 147288, 'attention': 10422, 'mlp': 0, 'embedding/residual': 0, 'decision': 6465}","{'projected_functional_equivalence': {'assertions': {'norm': 46592, 'attention': 3456, 'mlp': 0, 'embedding/residual': 0, 'decision': 128}, 'norm_instances': 896}, 'projected_content_invariance': {'assertions': {'norm': 91728, 'attention': 6804, 'mlp': 0, 'embedding/residual': 0, 'decision': 126}, 'norm_instances': 1764}, 'projected_edge_necessity': {'assertions': {'norm': 2184, 'attention': 162, 'mlp': 0, 'embedding/residual': 0, 'decision': 3}, 'norm_instances': 42}, 'projected_continuous_robustness': {'assertions': {'norm': 6784, 'attention': 0, 'mlp': 0, 'embedding/residual': 0, 'decision': 6208}, 'norm_instances': 256}}",164175,9.816687107086182,"{'projected_functional_equivalence': 3.2086522579193115, 'projected_content_invariance': 4.938580751419067, 'projected_edge_necessity': 0.07805585861206055, 'projected_continuous_robustness': 1.5913982391357422}",82087.5,4.908343553543091,2958,147288,49.793103448275865,78.78522683298797,True,True,False,False,"{'projected_functional_equivalence': 'VERIFIED', 'projected_content_invariance': 'VERIFIED', 'projected_edge_necessity': 'VERIFIED', 'projected_continuous_robustness': 'UNKNOWN_BRANCH_UNSTABLE'}",0,0,1,BandNorm verification requires branch certificates; whether the epsilon box remains within one branch is checkpoint-dependent.,normalized_metrics_only_across_different_topologies
selected_circuit,,norm_free,quote_close,none,2,8,4,1,0,1,168,False,"{'norm': 0, 'attention': 10638, 'mlp': 302592, 'embedding/residual': 0, 'decision': 4485}","{'norm': 0, 'attention': 10638, 'mlp': 302592, 'embedding/residual': 0, 'decision': 4485}","{'projected_functional_equivalence': {'assertions': {'norm': 0, 'attention': 3456, 'mlp': 98304, 'embedding/residual': 0, 'decision': 128}, 'norm_instances': 0}, 'projected_content_invariance': {'assertions': {'norm': 0, 'attention': 6804, 'mlp': 193536, 'embedding/residual': 0, 'decision': 126}, 'norm_instances': 0}, 'projected_edge_necessity': {'assertions': {'norm': 0, 'attention': 378, 'mlp': 10752, 'embedding/residual': 0, 'decision': 7}, 'norm_instances': 0}, 'projected_continuous_robustness': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 0, 'embedding/residual': 0, 'decision': 4224}, 'norm_instances': 0}}",317715,101.76794743537903,"{'projected_functional_equivalence': 38.0821008682251, 'projected_content_invariance': 61.20846486091614, 'projected_edge_necessity': 2.3406333923339844, 'projected_continuous_robustness': 0.1367483139038086}",79428.75,25.441986858844757,0,0,,575.4343237499706,False,False,True,True,"{'projected_functional_equivalence': 'VERIFIED', 'projected_content_invariance': 'VERIFIED', 'projected_edge_necessity': 'VERIFIED', 'projected_continuous_robustness': 'VERIFIED'}",0,0,0,Final decision is affine plus candidate argmax; no norm branch certificate is required and robustness cannot be branch-unknown.,normalized_metrics_only_across_different_topologies
selected_circuit,,norm_free,bracket_type,none,2,8,4,1,0,1,168,False,"{'norm': 0, 'attention': 10476, 'mlp': 297984, 'embedding/residual': 0, 'decision': 4482}","{'norm': 0, 'attention': 10476, 'mlp': 297984, 'embedding/residual': 0, 'decision': 4482}","{'projected_functional_equivalence': {'assertions': {'norm': 0, 'attention': 3456, 'mlp': 98304, 'embedding/residual': 0, 'decision': 128}, 'norm_instances': 0}, 'projected_content_invariance': {'assertions': {'norm': 0, 'attention': 6804, 'mlp': 193536, 'embedding/residual': 0, 'decision': 126}, 'norm_instances': 0}, 'projected_edge_necessity': {'assertions': {'norm': 0, 'attention': 216, 'mlp': 6144, 'embedding/residual': 0, 'decision': 4}, 'norm_instances': 0}, 'projected_continuous_robustness': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 0, 'embedding/residual': 0, 'decision': 4224}, 'norm_instances': 0}}",312942,128.6436951160431,"{'projected_functional_equivalence': 49.67195534706116, 'projected_content_invariance': 76.99029564857483, 'projected_edge_necessity': 1.8353981971740723, 'projected_continuous_robustness': 0.14604592323303223}",78235.5,32.16092377901077,0,0,,626.02800195702,False,False,True,True,"{'projected_functional_equivalence': 'VERIFIED', 'projected_content_invariance': 'VERIFIED', 'projected_edge_necessity': 'VERIFIED', 'projected_continuous_robustness': 'VERIFIED'}",0,0,0,Final decision is affine plus candidate argmax; no norm branch certificate is required and robustness cannot be branch-unknown.,normalized_metrics_only_across_different_topologies
selected_circuit,,program_healed,quote_close,none,2,8,5,2,2,0,0,True,"{'norm': 0, 'attention': 0, 'mlp': 152064, 'embedding/residual': 0, 'decision': 4486}","{'norm': 0, 'attention': 0, 'mlp': 152064, 'embedding/residual': 0, 'decision': 4486}","{'projected_functional_equivalence': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 49152, 'embedding/residual': 0, 'decision': 128}, 'norm_instances': 0}, 'projected_content_invariance': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 96768, 'embedding/residual': 0, 'decision': 126}, 'norm_instances': 0}, 'projected_edge_necessity': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 6144, 'embedding/residual': 0, 'decision': 8}, 'norm_instances': 0}, 'projected_continuous_robustness': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 0, 'embedding/residual': 0, 'decision': 4224}, 'norm_instances': 0}}",156550,21.83351182937622,"{'projected_functional_equivalence': 7.2616565227508545, 'projected_content_invariance': 13.850379705429077, 'projected_edge_necessity': 0.5778396129608154, 'projected_continuous_robustness': 0.14363598823547363}",31310.0,4.366702365875244,0,0,,311.53665466603707,False,False,True,True,"{'projected_functional_equivalence': 'VERIFIED', 'projected_content_invariance': 'VERIFIED', 'projected_edge_necessity': 'VERIFIED', 'projected_continuous_robustness': 'VERIFIED'}",0,0,0,Final decision is affine plus candidate argmax; no norm branch certificate is required and robustness cannot be branch-unknown.,normalized_metrics_only_across_different_topologies
selected_circuit,,program_healed,bracket_type,none,2,8,4,1,1,0,0,True,"{'norm': 0, 'attention': 0, 'mlp': 302592, 'embedding/residual': 0, 'decision': 4485}","{'norm': 0, 'attention': 0, 'mlp': 302592, 'embedding/residual': 0, 'decision': 4485}","{'projected_functional_equivalence': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 98304, 'embedding/residual': 0, 'decision': 128}, 'norm_instances': 0}, 'projected_content_invariance': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 193536, 'embedding/residual': 0, 'decision': 126}, 'norm_instances': 0}, 'projected_edge_necessity': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 10752, 'embedding/residual': 0, 'decision': 7}, 'norm_instances': 0}, 'projected_continuous_robustness': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 0, 'embedding/residual': 0, 'decision': 4224}, 'norm_instances': 0}}",307077,86.92749381065369,"{'projected_functional_equivalence': 29.63927984237671, 'projected_content_invariance': 55.28313708305359, 'projected_edge_necessity': 1.864689826965332, 'projected_continuous_robustness': 0.14038705825805664}",76769.25,21.73187345266342,0,0,,534.4209287489648,False,False,True,True,"{'projected_functional_equivalence': 'VERIFIED', 'projected_content_invariance': 'VERIFIED', 'projected_edge_necessity': 'VERIFIED', 'projected_continuous_robustness': 'VERIFIED'}",0,0,0,Final decision is affine plus candidate argmax; no norm branch certificate is required and robustness cannot be branch-unknown.,normalized_metrics_only_across_different_topologies
matched_topology,quote_close_5_edges,bandnorm,quote_close,signed_l1_band_norm,2,8,5,2,0,2,336,False,"{'norm': 389400, 'attention': 21276, 'mlp': 151296, 'embedding/residual': 0, 'decision': 4357}","{'norm': 389400, 'attention': 21276, 'mlp': 151296, 'embedding/residual': 0, 'decision': 4357}","{'projected_functional_equivalence': {'assertions': {'norm': 126464, 'attention': 6912, 'mlp': 49152, 'embedding/residual': 0, 'decision': 128}, 'norm_instances': 2432}, 'projected_content_invariance': {'assertions': {'norm': 248976, 'attention': 13608, 'mlp': 96768, 'embedding/residual': 0, 'decision': 126}, 'norm_instances': 4788}, 'projected_edge_necessity': {'assertions': {'norm': 13832, 'attention': 756, 'mlp': 5376, 'embedding/residual': 0, 'decision': 7}, 'norm_instances': 266}, 'projected_continuous_robustness': {'assertions': {'norm': 128, 'attention': 0, 'mlp': 0, 'embedding/residual': 0, 'decision': 4096}, 'norm_instances': 128}}",566329,58.80256962776184,"{'projected_functional_equivalence': 23.05590581893921, 'projected_content_invariance': 34.2485625743866, 'projected_edge_necessity': 1.276888370513916, 'projected_continuous_robustness': 0.22121286392211914}",113265.8,11.760513925552369,7614,389400,51.14263199369582,406.0458072909678,True,True,False,False,"{'projected_functional_equivalence': 'VERIFIED', 'projected_content_invariance': 'VERIFIED', 'projected_edge_necessity': 'VERIFIED', 'projected_continuous_robustness': 'UNKNOWN_BRANCH_UNSTABLE'}",0,0,1,BandNorm verification requires branch certificates; whether the epsilon box remains within one branch is checkpoint-dependent.,raw_and_normalized_within_matched_topology_group
matched_topology,quote_close_5_edges,norm_free,quote_close,none,2,8,5,2,0,2,336,False,"{'norm': 0, 'attention': 21492, 'mlp': 305664, 'embedding/residual': 0, 'decision': 4487}","{'norm': 0, 'attention': 21492, 'mlp': 305664, 'embedding/residual': 0, 'decision': 4487}","{'projected_functional_equivalence': {'assertions': {'norm': 0, 'attention': 6912, 'mlp': 98304, 'embedding/residual': 0, 'decision': 128}, 'norm_instances': 0}, 'projected_content_invariance': {'assertions': {'norm': 0, 'attention': 13608, 'mlp': 193536, 'embedding/residual': 0, 'decision': 126}, 'norm_instances': 0}, 'projected_edge_necessity': {'assertions': {'norm': 0, 'attention': 972, 'mlp': 13824, 'embedding/residual': 0, 'decision': 9}, 'norm_instances': 0}, 'projected_continuous_robustness': {'assertions': {'norm': 0, 'attention': 0, 'mlp': 0, 'embedding/residual': 0, 'decision': 4224}, 'norm_instances': 0}}",331643,272.50673270225525,"{'projected_functional_equivalence': 99.37463617324829, 'projected_content_invariance': 165.72353196144104, 'projected_edge_necessity': 7.274073600769043, 'projected_continuous_robustness': 0.134490966796875}",66328.6,54.50134654045105,0,0,,1013.4627241669805,False,False,True,True,"{'projected_functional_equivalence': 'VERIFIED', 'projected_content_invariance': 'VERIFIED', 'projected_edge_necessity': 'VERIFIED', 'projected_continuous_robustness': 'VERIFIED'}",0,0,0,Final decision is affine plus candidate argmax; no norm branch certificate is required and robustness cannot be branch-unknown.,raw_and_normalized_within_matched_topology_group
